ID,Age
1,18+
2,7+
3,7+
4,7+
5,18+
6,13+
7,13+
8,13+
9,16+
10,18+
11,18+
12,18+
13,18+
14,18+
15,all
16,18+
17,18+
18,16+
19,18+
20,7+
21,18+
22,18+
23,13+
24,18+
25,18+
26,16+
27,18+
28,18+
29,18+
30,13+
31,7+
32,18+
33,18+
34,18+
35,18+
36,Unknown
37,18+
38,13+
39,7+
40,18+
41,Unknown
42,18+
43,18+
44,18+
45,all
46,all
47,16+
48,18+
49,16+
50,18+
51,18+
52,18+
53,13+
54,13+
55,18+
56,18+
57,13+
58,Unknown
59,all
60,18+
61,18+
62,18+
63,16+
64,7+
65,13+
66,Unknown
67,all
68,18+
69,16+
70,18+
71,13+
72,18+
73,18+
74,18+
75,13+
76,13+
77,18+
78,18+
79,18+
80,13+
81,13+
82,7+
83,7+
84,all
85,18+
86,18+
87,18+
88,7+
89,Unknown
90,18+
91,18+
92,18+
93,Unknown
94,18+
95,Unknown
96,18+
97,18+
98,16+
99,18+
100,18+
108,7+
117,13+
156,13+
159,13+
168,13+
171,13+
185,18+
186,13+
200,13+
229,18+
249,13+
271,7+
311,18+
318,13+
319,18+
327,7+
328,18+
335,18+
360,18+
373,18+
381,13+
390,18+
401,18+
408,18+
411,18+
413,13+
416,7+
448,7+
457,7+
469,Unknown
474,18+
489,Unknown
502,18+
504,18+
529,13+
535,7+
537,13+
541,13+
544,13+
559,16+
567,18+
583,13+
585,18+
604,13+
606,Unknown
613,13+
626,Unknown
631,13+
636,16+
647,18+
667,Unknown
678,13+
713,7+
726,18+
764,13+
779,18+
797,18+
814,18+
822,13+
824,18+
830,7+
894,Unknown
898,18+
903,Unknown
935,7+
964,Unknown
974,Unknown
990,7+
1066,13+
1081,Unknown
1099,13+
1116,18+
1122,18+
1216,7+
1241,7+
1253,18+
1278,Unknown
1315,Unknown
1327,Unknown
1328,18+
1331,all
1338,all
1344,Unknown
1380,13+
1381,13+
1415,Unknown
1430,Unknown
1466,Unknown
1482,18+
1498,7+
1510,18+
1519,7+
1528,13+
1618,18+
1638,Unknown
1648,13+
1675,Unknown
1709,13+
1712,7+
1753,Unknown
1754,Unknown
1768,all
1792,13+
1798,13+
1814,Unknown
1817,7+
1831,Unknown
1853,7+
1854,Unknown
1976,Unknown
2002,Unknown
2030,Unknown
2076,18+
2094,Unknown
2123,Unknown
2169,Unknown
2171,Unknown
2173,Unknown
2203,Unknown
2235,Unknown
2244,Unknown
2247,Unknown
2260,Unknown
2334,Unknown
2349,Unknown
2364,Unknown
2412,18+
2452,Unknown
2480,18+
2703,all
2708,Unknown
2876,Unknown
2897,Unknown
2917,Unknown
3308,18+
3659,2016
3696,13+
3697,18+
3698,18+
3699,13+
3700,18+
3701,13+
3702,18+
3703,13+
3704,16+
3705,13+
3706,7+
3707,18+
3708,18+
3709,13+
3710,18+
3711,18+
3712,13+
3713,13+
3714,18+
3715,13+
3716,18+
3717,13+
3718,18+
3719,18+
3720,7+
3721,18+
3722,7+
3723,18+
3724,all
3725,7+
3726,16+
3727,18+
3728,18+
3729,13+
3730,18+
3731,7+
3732,18+
3733,18+
3734,18+
3735,18+
3736,13+
3737,13+
3738,18+
3739,18+
3740,7+
3741,13+
3742,18+
3743,18+
3744,18+
3745,13+
3746,Unknown
3747,18+
3748,18+
3749,7+
3750,18+
3751,18+
3752,7+
3753,18+
3754,18+
3755,7+
3959,7+
4132,18+
4187,Unknown
4204,13+
4513,Unknown
4847,Unknown
4864,13+
5418,Unknown
5485,all
5604,Unknown
5614,13+
5677,all
5763,all
7019,Unknown
7251,7+
7654,18+
8616,all
8617,13+
8618,13+
8619,7+
8620,7+
8621,7+
8622,13+
8623,all
8624,all
8625,13+
8626,all
8627,all
8628,7+
8629,7+
8630,all
8631,all
8632,7+
8633,13+
8634,all
8635,13+
8636,13+
8637,13+
8638,13+
8639,7+
8640,13+
8641,13+
8642,13+
8643,7+
8644,all
8645,13+
8646,13+
8647,13+
8648,13+
8649,7+
8650,7+
8651,all
8652,all
8653,13+
8654,7+
8655,7+
8656,7+
8657,13+
8658,7+
8659,7+
8660,7+
8661,13+
8662,7+
8663,7+
8664,7+
8665,13+
8666,13+
8667,13+
8668,13+
8669,7+
8670,13+
8671,all
8672,13+
8673,all
8674,13+
8675,13+
8676,13+
8677,7+
8678,13+
8679,7+
8680,7+
8681,all
8682,13+
8683,all
8684,13+
8685,all
8686,7+
8687,7+
8688,all
8689,13+
8690,7+
8691,7+
8692,13+
8693,all
